dimension,articleCount,stance,count,articleKeys
"Data availability, integration, quality, and standardization",316,negative,46,"[""0cd301461c99"", ""0ce6275d5e29"", ""0d3ed148cd7e"", ""17531fd94ff0"", ""260b9335a18b"", ""281cfd2b1e25"", ""2b6fbc4f0508"", ""2d9526998521"", ""353e3e1970fc"", ""3756a39ea98c"", ""392467f34a8e"", ""3db5f67e924b"", ""3e68f9e61c54"", ""4f7cb7df4f7d"", ""5d93b7069e25"", ""607838e1b84c"", ""62966ef9fdb8"", ""6347ea09d2bd"", ""685a023a1f71"", ""6f739da64bf7"", ""750835f3e51d"", ""7c9a28561793"", ""7d76dcad4fd1"", ""7dce1de2a158"", ""8548942b07da"", ""88f59ea42ad7"", ""8a0a26e0ad28"", ""9431a95feac7"", ""9649fa53145e"", ""9c5dde5cbaf5"", ""a3bb1eb6a59a"", ""a54c7820e8a1"", ""a6448a70e993"", ""b5813c22bda8"", ""baabcdd9106b"", ""c08f2f3d3e8b"", ""c4e8e79b0dc1"", ""d5963dc2e2a1"", ""e09d7e8e0f06"", ""e842ed2e802d"", ""e8a1de4c2f1b"", ""ecb3e566bf6f"", ""ef74a70b4670"", ""f32b6992dba5"", ""fbe51d7b5d32"", ""fcf0638d98ab""]"
"Data availability, integration, quality, and standardization",316,balanced,248,"[""043684769543"", ""050876505c41"", ""05e2688a7bc5"", ""05e48832d20e"", ""0612ea3873e7"", ""06c0f2ce8149"", ""07c78b773a9e"", ""07fc94724eec"", ""0a00ff13084b"", ""0a91bafc9ed3"", ""0ab3fcfd31cd"", ""0c2ef5f5f239"", ""0c4c0c9dfa22"", ""0ce423384fd5"", ""0d9a70ede5cc"", ""0db96a4e3a4b"", ""0dc2e29b3cdc"", ""0ff0aa3f6a75"", ""115dec251e53"", ""124df92e6d47"", ""12df428f0bc9"", ""1408e75c41f8"", ""141b13698665"", ""15409c146949"", ""155874664ca6"", ""15e0a0244e47"", ""1648261eab20"", ""17819e10c66b"", ""180d4efefd11"", ""1852aed2b535"", ""185bfa237de7"", ""18696a72d2e6"", ""1904798abdde"", ""194a129d30b7"", ""196caa492075"", ""19cb602b2f26"", ""1a2acf19df20"", ""1a93f0883cd2"", ""1af22a193a23"", ""1bf504b7350f"", ""1d794ad5abad"", ""1e84cfa9a875"", ""204d1f7e2d50"", ""20e75922954b"", ""211a1f5e8c68"", ""22edae5415fa"", ""253ecd7dc13d"", ""2573e4102c86"", ""26abc95edfa3"", ""26b86f0f7104"", ""28d93b251ada"", ""2ce8cb442667"", ""2da4eab59436"", ""2e6b2c0b76cd"", ""2edcd32ecfef"", ""2eea02f82a91"", ""30f9c197297e"", ""32e2ad0d0e6f"", ""345f15624795"", ""3546add1d637"", ""35bc3ce0c206"", ""3610864516d6"", ""382c85dc1773"", ""38c21f05f613"", ""393240c7cec2"", ""3a42efb6c3e0"", ""3c2419267f61"", ""3ea2dfffb32d"", ""3fa94aec9761"", ""40af85c6a674"", ""40e5cd2458a7"", ""439dfd13b723"", ""442a6774b300"", ""44ce6e703d06"", ""453d7dda7136"", ""45eb1a2f75ff"", ""4764e0c69fc7"", ""480eeed24bbb"", ""4a43cf41c93c"", ""4afc2a924102"", ""4caa01410b29"", ""4f765ccd9085"", ""508a17977cd2"", ""50e92c5d79ed"", ""5228248f6fb3"", ""52f6c2705903"", ""5426dc9b583d"", ""569ab5ce6be4"", ""586a2b8617e4"", ""59533aad7727"", ""5a7f975813f3"", ""5b4074fce93a"", ""5eb5c2661c10"", ""5eda0c15ead9"", ""5fe18c92b5b8"", ""617a92840067"", ""61ee33ea2db5"", ""62c5fb0e0006"", ""642c3c0cd617"", ""646313884044"", ""671fa968ac45"", ""68f0266deb95"", ""6b5df424652b"", ""6d00851b6b2f"", ""6fe05a02f932"", ""7170b8cc9dcd"", ""71adaf3d927c"", ""740599fb90ce"", ""74bd3176c1ed"", ""75bba223bc94"", ""772fab385995"", ""7883c54e265c"", ""7a8d717e87c8"", ""7abb94fc2719"", ""7bda019936ec"", ""7e500df4fae1"", ""7f53aa5cb1c9"", ""7f74f101a703"", ""8529576161e7"", ""853e0b588e73"", ""866ff7d14ed2"", ""873a9a16cc28"", ""87ad60e39c6e"", ""884497e0ee92"", ""88ef6ab637e1"", ""8a272a0621a3"", ""8a37722508f8"", ""8a5b73028348"", ""8b31cb8429dc"", ""8ba2213f7ff2"", ""8c8e1aed8a11"", ""8cc1cc25b209"", ""8d687ff87530"", ""8e39b70ae840"", ""8e81837a5861"", ""8f6d0f5c5cf3"", ""901e5a28ee43"", ""9128d022254b"", ""92b0beaeeada"", ""94eb03d655e3"", ""99087a376207"", ""9a4a7b8bc450"", ""9be93b20f768"", ""9c2426e5689a"", ""9c51cf880908"", ""9e08b543a80f"", ""Schlosser2024_SciRep"", ""a0c9a468cb84"", ""a1593fedce90"", ""a25c2affba2e"", ""a2bfc8cc3fd8"", ""a32e088bd521"", ""a55c19870c66"", ""a5c99b438a02"", ""a610a9d426b3"", ""a7d06d07e6c3"", ""a823efcedabd"", ""a82536bb0043"", ""a8a58cac35be"", ""ac26cb0e9249"", ""acf81cbadaec"", ""ad6ea1627565"", ""ae427adb3d51"", ""afc412821b08"", ""b14e75f5029e"", ""b2d92e326400"", ""b3e18537a972"", ""b42bb6aa4bd0"", ""b43746032b9d"", ""b520d4ed8f29"", ""b6aa9a3abc0f"", ""b6ab3131bcdd"", ""b83bed0b0c18"", ""babd088bc54d"", ""bc46a6372070"", ""bdec5046af38"", ""c08be1c96b75"", ""c0c5966a3f98"", ""c207fd307df3"", ""c3ee99b25fe5"", ""c4ed68d9a886"", ""c644d5188019"", ""c68d30aef47a"", ""c7d15e21d947"", ""c96214dae904"", ""c9bcbbcd10e9"", ""c9fafe5b4ef7"", ""cab0c62174f2"", ""cb1c58355a32"", ""cc173c68aaf4"", ""cda6f5d653f0"", ""ceb81af82ec8"", ""cf651cb4eb97"", ""cf8018eec68f"", ""cfa141a99804"", ""cfc9b29316ca"", ""d03d952857ab"", ""d1c34bb65deb"", ""d2268865c638"", ""d2883190c5b7"", ""d2f5621f7596"", ""d384c5486fec"", ""d44a9529bdde"", ""d465424b3564"", ""d485cdc6f95b"", ""d4aa814e85dd"", ""d4ea2c3251e9"", ""d50d012dbe1d"", ""d5d70edc6cef"", ""d6066a07ba35"", ""d66c54ff5654"", ""da86f734d8a3"", ""daaa7bd24f6d"", ""dd322ca792a6"", ""ddb8a8742a4d"", ""ddff51574c2b"", ""de99037c54a3"", ""defa2b6538c8"", ""df4ac708eecf"", ""e1bb7788d422"", ""e2803d839281"", ""e295ef4e6849"", ""e2f6a88e3abc"", ""e4edbaa2c127"", ""e5136d5c95b2"", ""e53f05541439"", ""e783fc3a548e"", ""e8da82ecca34"", ""ea263bf4d04c"", ""ed3fec0ec1cd"", ""ed7fd7675fc5"", ""f0f02ae9c681"", ""f2a564301b9e"", ""f2c1c0d92f35"", ""f3443e988e2f"", ""f41ca0b8e8aa"", ""f486c8a77ee9"", ""f61d97acc9da"", ""f6efab0f4258"", ""fabdee03a10a"", ""fad54041dcf2"", ""fb4151a5b803"", ""fb61b5e416fe"", ""fbc53be7c1ec"", ""fbe81ad8d55c"", ""fc6b7ff31bec"", ""ff2b7a54d21d"", ""ffa998359094""]"
Infrastructural demands,106,positive,59,"[""05e2688a7bc5"", ""0a91bafc9ed3"", ""0ab3fcfd31cd"", ""12df428f0bc9"", ""1bf504b7350f"", ""1e84cfa9a875"", ""1f86b4feb99a"", ""211a1f5e8c68"", ""22edae5415fa"", ""2573e4102c86"", ""260b9335a18b"", ""27c8caa3938d"", ""28d93b251ada"", ""2edcd32ecfef"", ""2eea02f82a91"", ""30f9c197297e"", ""345f15624795"", ""442a6774b300"", ""44ce6e703d06"", ""47542dbde500"", ""4afc2a924102"", ""4f765ccd9085"", ""59533aad7727"", ""5b4074fce93a"", ""617a92840067"", ""64d31fb56e0d"", ""671fa968ac45"", ""74603fc07566"", ""7a8d717e87c8"", ""7bda019936ec"", ""8529576161e7"", ""88ef6ab637e1"", ""88f59ea42ad7"", ""8b31cb8429dc"", ""8d687ff87530"", ""8e39b70ae840"", ""8f6d0f5c5cf3"", ""8fdeab605f31"", ""901e5a28ee43"", ""96ce472e1aee"", ""99087a376207"", ""9e08b543a80f"", ""Schlosser2024_SciRep"", ""a25c2affba2e"", ""a3bb1eb6a59a"", ""a54c7820e8a1"", ""a55c19870c66"", ""a6448a70e993"", ""a82536bb0043"", ""a8a58cac35be"", ""ad6ea1627565"", ""b3e18537a972"", ""b5784b25a496"", ""c08f2f3d3e8b"", ""c207fd307df3"", ""de99037c54a3"", ""e4ff9553115d"", ""f2a564301b9e"", ""f49beac306e5""]"
Infrastructural demands,106,negative,16,"[""18696a72d2e6"", ""2169dad77619"", ""3db5f67e924b"", ""439dfd13b723"", ""453d7dda7136"", ""740599fb90ce"", ""75bba223bc94"", ""8e81837a5861"", ""9649fa53145e"", ""9be93b20f768"", ""c4ed68d9a886"", ""c7d15e21d947"", ""d44a9529bdde"", ""d485cdc6f95b"", ""e8a1de4c2f1b"", ""f32b6992dba5""]"
Infrastructural demands,106,balanced,31,"[""00c860e05574"", ""0cd301461c99"", ""0ce423384fd5"", ""0dc2e29b3cdc"", ""141b13698665"", ""1904798abdde"", ""26b86f0f7104"", ""3546add1d637"", ""3610864516d6"", ""508a17977cd2"", ""5228248f6fb3"", ""6347ea09d2bd"", ""7d76dcad4fd1"", ""7e500df4fae1"", ""8a5b73028348"", ""9c51cf880908"", ""a7d06d07e6c3"", ""a823efcedabd"", ""b2d92e326400"", ""b520d4ed8f29"", ""c644d5188019"", ""cda6f5d653f0"", ""ceb81af82ec8"", ""d384c5486fec"", ""d5d70edc6cef"", ""ddb8a8742a4d"", ""e295ef4e6849"", ""e2f6a88e3abc"", ""e5136d5c95b2"", ""ea263bf4d04c"", ""ed3fec0ec1cd""]"
Financial costs,70,positive,46,"[""043684769543"", ""07c78b773a9e"", ""0ab3fcfd31cd"", ""0cd301461c99"", ""141b13698665"", ""14ebc0156334"", ""15e0a0244e47"", ""21574e4309b4"", ""22edae5415fa"", ""253ecd7dc13d"", ""345f15624795"", ""39421d06c383"", ""3e68f9e61c54"", ""4afc2a924102"", ""586a2b8617e4"", ""59533aad7727"", ""5b4074fce93a"", ""617a92840067"", ""64d31fb56e0d"", ""671fa968ac45"", ""6b5df424652b"", ""6d00851b6b2f"", ""6f739da64bf7"", ""6fe05a02f932"", ""74603fc07566"", ""7883c54e265c"", ""7a8d717e87c8"", ""7bda019936ec"", ""7d76dcad4fd1"", ""889c08799ba4"", ""88ef6ab637e1"", ""94eb03d655e3"", ""a3bb1eb6a59a"", ""a55c19870c66"", ""a619076b267e"", ""b520d4ed8f29"", ""b5784b25a496"", ""b6aa9a3abc0f"", ""c08be1c96b75"", ""c08f2f3d3e8b"", ""c207fd307df3"", ""c9bcbbcd10e9"", ""d05cac5388fa"", ""ef7005cea0a5"", ""ef74a70b4670"", ""fbe51d7b5d32""]"
Financial costs,70,negative,5,"[""05e2688a7bc5"", ""211a1f5e8c68"", ""8e81837a5861"", ""c4ed68d9a886"", ""f6efab0f4258""]"
Financial costs,70,balanced,19,"[""0ce423384fd5"", ""1904798abdde"", ""194a129d30b7"", ""2e6b2c0b76cd"", ""40e5cd2458a7"", ""4f765ccd9085"", ""508a17977cd2"", ""5228248f6fb3"", ""6347ea09d2bd"", ""75bba223bc94"", ""7e500df4fae1"", ""901e5a28ee43"", ""b2d92e326400"", ""c644d5188019"", ""ceb81af82ec8"", ""cf651cb4eb97"", ""d44a9529bdde"", ""d5d70edc6cef"", ""ddb8a8742a4d""]"
Regulatory requirements,14,positive,4,"[""1e84cfa9a875"", ""393240c7cec2"", ""8a0a26e0ad28"", ""c08f2f3d3e8b""]"
Regulatory requirements,14,negative,7,"[""3610864516d6"", ""44ce6e703d06"", ""508a17977cd2"", ""8b31cb8429dc"", ""d44a9529bdde"", ""ddb8a8742a4d"", ""f49beac306e5""]"
Regulatory requirements,14,balanced,3,"[""74bd3176c1ed"", ""75bba223bc94"", ""9e08b543a80f""]"
Cybersecurity risks,5,positive,2,"[""8e81837a5861"", ""c9fafe5b4ef7""]"
Cybersecurity risks,5,negative,2,"[""9c5dde5cbaf5"", ""e8a1de4c2f1b""]"
Cybersecurity risks,5,balanced,1,"[""ddb8a8742a4d""]"
Ethical concerns,10,positive,0,[]
Ethical concerns,10,negative,10,"[""15409c146949"", ""3610864516d6"", ""393240c7cec2"", ""508a17977cd2"", ""75bba223bc94"", ""7dce1de2a158"", ""c08f2f3d3e8b"", ""d44a9529bdde"", ""ddb8a8742a4d"", ""e8a1de4c2f1b""]"
Ethical concerns,10,balanced,0,[]
