citationKey,dimension,stance,kind
557e974d0f58,Transparency,resolved,ethics
586a2b8617e4,Transparency,resolved,ethics
5b4074fce93a,Transparency,resolved,ethics
5d93b7069e25,Transparency,resolved,ethics
62966ef9fdb8,Transparency,resolved,ethics
671fa968ac45,Transparency,resolved,ethics
68f0266deb95,Transparency,resolved,ethics
7098a160108d,Transparency,resolved,ethics
769ac8041ab3,Transparency,resolved,ethics
7a8d717e87c8,Transparency,resolved,ethics
7abb94fc2719,Transparency,resolved,ethics
7bda019936ec,Transparency,resolved,ethics
7c9a28561793,Transparency,resolved,ethics
7d76dcad4fd1,Transparency,resolved,ethics
853e0b588e73,Transparency,resolved,ethics
87f3cd94ec74,Transparency,resolved,ethics
8fdeab605f31,Transparency,resolved,ethics
901e5a28ee43,Transparency,resolved,ethics
942a7c645311,Transparency,resolved,ethics
94eb03d655e3,Transparency,resolved,ethics
98a6512e9253,Transparency,resolved,ethics
9a4a7b8bc450,Transparency,resolved,ethics
a32e088bd521,Transparency,resolved,ethics
a5c99b438a02,Transparency,resolved,ethics
a823efcedabd,Transparency,resolved,ethics
b0bb1f653298,Transparency,resolved,ethics
b3e18537a972,Transparency,resolved,ethics
b42bb6aa4bd0,Transparency,resolved,ethics
b43746032b9d,Transparency,resolved,ethics
b520d4ed8f29,Transparency,resolved,ethics
bdec5046af38,Transparency,resolved,ethics
c08be1c96b75,Transparency,resolved,ethics
c3c03d9a26df,Transparency,resolved,ethics
c4ed68d9a886,Transparency,resolved,ethics
c9bcbbcd10e9,Transparency,resolved,ethics
cc173c68aaf4,Transparency,resolved,ethics
ceb81af82ec8,Transparency,resolved,ethics
d0f160c2f77b,Transparency,resolved,ethics
d28892d42ec2,Transparency,resolved,ethics
d4ea2c3251e9,Transparency,resolved,ethics
d50d012dbe1d,Transparency,resolved,ethics
d5d70edc6cef,Transparency,resolved,ethics
daaa7bd24f6d,Transparency,resolved,ethics
de99037c54a3,Transparency,resolved,ethics
defa2b6538c8,Transparency,resolved,ethics
df4ac708eecf,Transparency,resolved,ethics
e783fc3a548e,Transparency,resolved,ethics
e842ed2e802d,Transparency,resolved,ethics
ecb3e566bf6f,Transparency,resolved,ethics
ed3fec0ec1cd,Transparency,resolved,ethics
ed7fd7675fc5,Transparency,resolved,ethics
ef7005cea0a5,Transparency,resolved,ethics
f32b6992dba5,Transparency,resolved,ethics
fad54041dcf2,Transparency,resolved,ethics
fb4151a5b803,Transparency,resolved,ethics
fbe81ad8d55c,Transparency,resolved,ethics
050876505c41,Transparency,both,ethics
0a91bafc9ed3,Transparency,both,ethics
0c2ef5f5f239,Transparency,both,ethics
0d9a70ede5cc,Transparency,both,ethics
12df428f0bc9,Transparency,both,ethics
1408e75c41f8,Transparency,both,ethics
15409c146949,Transparency,both,ethics
1e84cfa9a875,Transparency,both,ethics
26abc95edfa3,Transparency,both,ethics
28d93b251ada,Transparency,both,ethics
2b6fbc4f0508,Transparency,both,ethics
2c2ad7b1aef3,Transparency,both,ethics
2e6b2c0b76cd,Transparency,both,ethics
30f9c197297e,Transparency,both,ethics
3610864516d6,Transparency,both,ethics
38c21f05f613,Transparency,both,ethics
393240c7cec2,Transparency,both,ethics
3a1c9f961d8f,Transparency,both,ethics
3e68f9e61c54,Transparency,both,ethics
442a6774b300,Transparency,both,ethics
508a17977cd2,Transparency,both,ethics
5a7f975813f3,Transparency,both,ethics
5eda0c15ead9,Transparency,both,ethics
607838e1b84c,Transparency,both,ethics
6347ea09d2bd,Transparency,both,ethics
642c3c0cd617,Transparency,both,ethics
646313884044,Transparency,both,ethics
6f739da64bf7,Transparency,both,ethics
750835f3e51d,Transparency,both,ethics
7e500df4fae1,Transparency,both,ethics
873a9a16cc28,Transparency,both,ethics
88ef6ab637e1,Transparency,both,ethics
8a5b73028348,Transparency,both,ethics
99087a376207,Transparency,both,ethics
9c51cf880908,Transparency,both,ethics
Schlosser2024_SciRep,Transparency,both,ethics
a1593fedce90,Transparency,both,ethics
a55c19870c66,Transparency,both,ethics
a610a9d426b3,Transparency,both,ethics
c08f2f3d3e8b,Transparency,both,ethics
c207fd307df3,Transparency,both,ethics
c644d5188019,Transparency,both,ethics
d05cac5388fa,Transparency,both,ethics
d2f5621f7596,Transparency,both,ethics
d384c5486fec,Transparency,both,ethics
d44a9529bdde,Transparency,both,ethics
d66c54ff5654,Transparency,both,ethics
da86f734d8a3,Transparency,both,ethics
ddff51574c2b,Transparency,both,ethics
ea263bf4d04c,Transparency,both,ethics
ef74a70b4670,Transparency,both,ethics
f41ca0b8e8aa,Transparency,both,ethics
f486c8a77ee9,Transparency,both,ethics
f6efab0f4258,Transparency,both,ethics
fbe51d7b5d32,Transparency,both,ethics
3610864516d6,Security,caused,ethics
9c5dde5cbaf5,Security,caused,ethics
e8a1de4c2f1b,Security,caused,ethics
8e81837a5861,Security,resolved,ethics
c9fafe5b4ef7,Security,resolved,ethics
ddb8a8742a4d,Security,both,ethics
05e48832d20e,Non-maleficence,caused,ethics
2d9526998521,Non-maleficence,caused,ethics
453d7dda7136,Non-maleficence,caused,ethics
4f765ccd9085,Non-maleficence,caused,ethics
873a9a16cc28,Non-maleficence,caused,ethics
8a0a26e0ad28,Non-maleficence,caused,ethics
c9fafe5b4ef7,Non-maleficence,caused,ethics
d5d70edc6cef,Non-maleficence,caused,ethics
fcf0638d98ab,Non-maleficence,caused,ethics
12df428f0bc9,Non-maleficence,resolved,ethics
141b13698665,Non-maleficence,resolved,ethics
18bd8aebe09b,Non-maleficence,resolved,ethics
44ce6e703d06,Non-maleficence,resolved,ethics
586a2b8617e4,Non-maleficence,resolved,ethics
5b4074fce93a,Non-maleficence,resolved,ethics
61ee33ea2db5,Non-maleficence,resolved,ethics
6fe05a02f932,Non-maleficence,resolved,ethics
7883c54e265c,Non-maleficence,resolved,ethics
9c51cf880908,Non-maleficence,resolved,ethics
a619076b267e,Non-maleficence,resolved,ethics
a82536bb0043,Non-maleficence,resolved,ethics
ae427adb3d51,Non-maleficence,resolved,ethics
b5784b25a496,Non-maleficence,resolved,ethics
c4ed68d9a886,Non-maleficence,resolved,ethics
ef7005cea0a5,Non-maleficence,resolved,ethics
f0f02ae9c681,Non-maleficence,resolved,ethics
f2a564301b9e,Non-maleficence,resolved,ethics
0ab3fcfd31cd,Non-maleficence,both,ethics
0ce423384fd5,Non-maleficence,both,ethics
17531fd94ff0,Non-maleficence,both,ethics
393240c7cec2,Non-maleficence,both,ethics
508a17977cd2,Non-maleficence,both,ethics
88ef6ab637e1,Non-maleficence,both,ethics
8a5b73028348,Non-maleficence,both,ethics
ceb81af82ec8,Non-maleficence,both,ethics
d44a9529bdde,Non-maleficence,both,ethics
f6efab0f4258,Non-maleficence,both,ethics
2169dad77619,Trust,caused,ethics
453d7dda7136,Trust,caused,ethics
75bba223bc94,Trust,caused,ethics
8b31cb8429dc,Trust,caused,ethics
9431a95feac7,Trust,caused,ethics
9c51cf880908,Trust,caused,ethics
c08f2f3d3e8b,Trust,caused,ethics
e8a1de4c2f1b,Trust,caused,ethics
043684769543,Trust,resolved,ethics
15409c146949,Trust,resolved,ethics
1ce8b917da06,Trust,resolved,ethics
1d842e8af942,Trust,resolved,ethics
260b9335a18b,Trust,resolved,ethics
28d93b251ada,Trust,resolved,ethics
393240c7cec2,Trust,resolved,ethics
39421d06c383,Trust,resolved,ethics
3a1c9f961d8f,Trust,resolved,ethics
439dfd13b723,Trust,resolved,ethics
557e974d0f58,Trust,resolved,ethics
5b4074fce93a,Trust,resolved,ethics
5eda0c15ead9,Trust,resolved,ethics
607838e1b84c,Trust,resolved,ethics
617a92840067,Trust,resolved,ethics
873a9a16cc28,Trust,resolved,ethics
94eb03d655e3,Trust,resolved,ethics
9e08b543a80f,Trust,resolved,ethics
a5c99b438a02,Trust,resolved,ethics
c08be1c96b75,Trust,resolved,ethics
c644d5188019,Trust,resolved,ethics
cf651cb4eb97,Trust,resolved,ethics
d05cac5388fa,Trust,resolved,ethics
d0f160c2f77b,Trust,resolved,ethics
f41ca0b8e8aa,Trust,resolved,ethics
fbe81ad8d55c,Trust,resolved,ethics
050876505c41,Trust,both,ethics
3610864516d6,Trust,both,ethics
442a6774b300,Trust,both,ethics
508a17977cd2,Trust,both,ethics
7e500df4fae1,Trust,both,ethics
8a5b73028348,Trust,both,ethics
99087a376207,Trust,both,ethics
a6448a70e993,Trust,both,ethics
d44a9529bdde,Trust,both,ethics
ddb8a8742a4d,Trust,both,ethics
f6efab0f4258,Trust,both,ethics
0cd301461c99,Accountability,resolved,ethics
15409c146949,Accountability,resolved,ethics
185bfa237de7,Accountability,resolved,ethics
30f9c197297e,Accountability,resolved,ethics
44ce6e703d06,Accountability,resolved,ethics
4f765ccd9085,Accountability,resolved,ethics
508a17977cd2,Accountability,resolved,ethics
8a5b73028348,Accountability,resolved,ethics
9e08b543a80f,Accountability,resolved,ethics
b2d92e326400,Accountability,resolved,ethics
b42bb6aa4bd0,Accountability,resolved,ethics
b520d4ed8f29,Accountability,resolved,ethics
e2f6a88e3abc,Accountability,resolved,ethics
f41ca0b8e8aa,Accountability,resolved,ethics
f61d97acc9da,Accountability,resolved,ethics
fc6b7ff31bec,Accountability,resolved,ethics
fcf0638d98ab,Accountability,resolved,ethics
3610864516d6,Accountability,both,ethics
050876505c41,Equity,caused,ethics
06c0f2ce8149,Equity,caused,ethics
0a91bafc9ed3,Equity,caused,ethics
0ce423384fd5,Equity,caused,ethics
15e0a0244e47,Equity,caused,ethics
17819e10c66b,Equity,caused,ethics
204d1f7e2d50,Equity,caused,ethics
260b9335a18b,Equity,caused,ethics
345f15624795,Equity,caused,ethics
3e68f9e61c54,Equity,caused,ethics
40af85c6a674,Equity,caused,ethics
5d93b7069e25,Equity,caused,ethics
642c3c0cd617,Equity,caused,ethics
646313884044,Equity,caused,ethics
68f0266deb95,Equity,caused,ethics
75bba223bc94,Equity,caused,ethics
853e0b588e73,Equity,caused,ethics
8b31cb8429dc,Equity,caused,ethics
9c51cf880908,Equity,caused,ethics
b2d92e326400,Equity,caused,ethics
c644d5188019,Equity,caused,ethics
d44a9529bdde,Equity,caused,ethics
e4edbaa2c127,Equity,caused,ethics
ef74a70b4670,Equity,caused,ethics
f486c8a77ee9,Equity,caused,ethics
fabdee03a10a,Equity,caused,ethics
0ab3fcfd31cd,Equity,resolved,ethics
1852aed2b535,Equity,resolved,ethics
28d93b251ada,Equity,resolved,ethics
44ce6e703d06,Equity,resolved,ethics
64d31fb56e0d,Equity,resolved,ethics
7a8d717e87c8,Equity,resolved,ethics
7d76dcad4fd1,Equity,resolved,ethics
8529576161e7,Equity,resolved,ethics
9e08b543a80f,Equity,resolved,ethics
a3bb1eb6a59a,Equity,resolved,ethics
b43746032b9d,Equity,resolved,ethics
b5784b25a496,Equity,resolved,ethics
b6aa9a3abc0f,Equity,resolved,ethics
ceb81af82ec8,Equity,resolved,ethics
d384c5486fec,Equity,resolved,ethics
ddb8a8742a4d,Equity,resolved,ethics
f8c4d3c38c89,Equity,resolved,ethics
12df428f0bc9,Equity,both,ethics
15409c146949,Equity,both,ethics
1a2acf19df20,Equity,both,ethics
3610864516d6,Equity,both,ethics
3c2419267f61,Equity,both,ethics
508a17977cd2,Equity,both,ethics
617a92840067,Equity,both,ethics
671fa968ac45,Equity,both,ethics
685a023a1f71,Equity,both,ethics
750835f3e51d,Equity,both,ethics
7bda019936ec,Equity,both,ethics
7c9a28561793,Equity,both,ethics
88ef6ab637e1,Equity,both,ethics
b520d4ed8f29,Equity,both,ethics
b83bed0b0c18,Equity,both,ethics
c08f2f3d3e8b,Equity,both,ethics
e8a1de4c2f1b,Equity,both,ethics
ea263bf4d04c,Equity,both,ethics
d2883190c5b7,Autonomy,caused,ethics
0cd301461c99,Autonomy,resolved,ethics
185bfa237de7,Autonomy,resolved,ethics
30f9c197297e,Autonomy,resolved,ethics
3610864516d6,Autonomy,resolved,ethics
59533aad7727,Autonomy,resolved,ethics
8a5b73028348,Autonomy,resolved,ethics
b2d92e326400,Autonomy,resolved,ethics
b6aa9a3abc0f,Autonomy,resolved,ethics
d4ea2c3251e9,Autonomy,resolved,ethics
e2f6a88e3abc,Autonomy,resolved,ethics
ed3fec0ec1cd,Autonomy,resolved,ethics
f41ca0b8e8aa,Autonomy,resolved,ethics
f61d97acc9da,Autonomy,resolved,ethics
fc6b7ff31bec,Autonomy,resolved,ethics
fcf0638d98ab,Autonomy,resolved,ethics
